,cov_clusters
0,1
1,4
2,3
3,0
4,1
5,3
6,1
7,1
8,3
9,1
10,1
11,3
12,3
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,3
21,3
22,3
23,1
24,3
25,3
26,3
27,3
28,3
29,3
30,1
31,1
32,1
33,2
34,1
35,3
36,1
37,1
38,3
39,3
40,1
41,3
42,3
43,3
44,3
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,3
53,1
54,1
55,1
56,1
57,3
58,2
59,1
60,3
61,3
62,1
63,2
64,1
65,4
66,3
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,2
75,3
76,3
77,1
78,1
79,1
80,1
81,3
82,1
83,3
84,1
85,3
86,1
87,1
88,1
89,0
90,3
91,3
92,1
93,1
94,3
95,2
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,3
107,1
108,1
109,1
110,3
111,3
112,1
113,1
114,1
115,1
116,1
117,3
118,1
119,1
120,1
121,1
122,1
123,3
124,1
125,1
126,3
127,1
128,3
129,1
130,1
131,3
132,3
133,3
134,1
135,1
136,3
137,3
138,1
139,1
140,1
141,1
142,3
143,3
144,1
145,1
146,1
147,3
148,3
149,1
150,2
151,1
152,1
153,1
154,1
155,1
156,3
157,1
158,3
159,1
160,3
161,3
162,1
163,3
164,1
165,3
166,1
167,1
168,1
169,1
170,3
171,1
172,1
173,1
174,1
175,1
176,3
177,1
178,1
179,1
180,1
181,1
182,1
183,3
184,4
185,3
186,1
187,2
188,3
189,1
190,1
191,1
192,2
193,3
194,1
195,1
196,1
197,1
198,3
199,1
200,1
201,1
202,3
203,3
204,1
205,1
206,1
207,3
208,3
209,3
210,3
211,3
212,1
213,3
214,2
215,2
216,1
217,3
218,1
219,2
220,3
221,2
222,1
223,3
224,1
225,3
226,1
227,1
228,2
229,3
230,2
231,1
232,3
233,3
234,1
235,2
236,1
237,3
238,1
239,1
240,1
241,1
242,3
243,1
244,1
245,4
246,1
247,1
248,3
249,1
250,3
251,1
252,1
253,1
254,1
255,1
256,1
257,3
258,1
259,1
260,3
261,1
262,1
263,1
264,1
265,2
266,1
267,3
268,1
269,1
270,1
271,3
272,3
273,1
274,2
275,1
276,3
277,1
278,1
279,1
280,2
281,1
282,1
