,cov_clusters
0,1
1,1
2,1
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,5
32,1
33,1
34,0
35,1
36,0
37,1
38,9
39,1
40,1
41,1
42,5
43,0
44,0
45,0
46,1
47,5
48,1
49,0
50,1
51,1
52,5
53,1
54,0
55,1
56,1
57,1
58,5
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,5
67,1
68,0
69,0
70,1
71,5
72,1
73,0
74,1
75,0
76,0
77,0
78,5
79,1
80,5
81,0
82,1
83,0
84,0
85,1
86,5
87,1
88,5
89,0
90,1
91,0
92,0
93,1
94,1
95,3
96,9
97,1
98,1
99,5
100,4
101,5
102,1
103,5
104,0
105,0
106,0
107,1
108,0
109,0
110,3
111,1
112,0
113,1
114,0
115,6
116,0
117,0
118,0
119,0
120,5
121,0
122,0
123,0
124,0
125,0
126,3
127,5
128,1
129,3
130,1
131,0
132,5
133,4
134,2
135,0
136,0
137,4
138,2
139,6
140,2
141,0
142,0
143,5
144,4
145,1
146,0
147,5
148,1
149,5
150,5
151,0
152,0
153,9
154,4
155,5
156,3
157,5
158,3
159,0
160,4
161,5
162,5
163,5
164,2
165,5
166,6
167,2
168,2
169,4
170,0
171,5
172,9
173,4
174,4
175,5
176,2
177,2
178,6
179,0
180,2
181,4
182,4
183,5
184,4
185,3
186,4
187,4
188,3
189,3
190,5
191,4
192,5
193,2
194,0
195,2
196,2
197,5
198,2
199,3
200,3
201,4
202,2
203,0
204,2
205,2
206,2
207,2
208,0
209,6
210,0
211,4
212,2
213,0
214,4
215,6
216,5
217,9
218,4
219,0
220,0
221,0
222,4
223,2
224,2
225,0
226,3
227,5
228,0
229,1
230,5
231,4
232,5
233,1
234,6
235,5
236,5
237,0
238,4
239,4
240,0
241,5
242,2
243,0
244,4
245,6
246,4
247,0
248,2
249,2
250,6
251,5
252,1
253,0
254,4
255,4
256,6
257,4
258,3
259,4
260,2
261,2
262,4
263,6
264,0
265,1
266,5
267,3
268,4
269,0
270,4
271,4
272,5
273,3
274,2
275,4
276,0
277,6
278,2
279,5
280,2
281,5
282,4
283,4
284,5
285,5
286,0
287,4
288,1
289,5
290,0
291,4
292,4
293,5
294,4
295,6
296,5
297,0
298,2
299,4
300,4
301,2
302,4
303,4
304,2
305,9
306,9
307,4
308,2
309,3
310,4
311,4
312,4
313,9
314,0
315,5
316,6
317,4
318,4
319,4
320,5
321,1
322,4
323,9
324,3
325,0
326,1
327,2
328,4
329,4
330,4
331,4
332,6
333,4
334,5
335,4
336,6
337,3
338,4
339,2
340,5
341,3
342,5
343,4
344,6
345,2
346,3
347,5
348,5
349,4
350,2
351,9
352,3
353,5
354,6
355,3
356,6
357,6
358,2
359,6
360,3
361,5
362,0
363,2
364,4
365,5
366,4
367,6
368,0
369,4
370,5
371,4
372,4
373,6
374,3
375,4
376,5
377,4
378,2
379,4
380,6
381,4
382,5
383,2
384,2
385,5
386,4
387,4
388,2
389,2
390,9
391,4
392,6
393,3
394,9
395,4
396,0
397,0
398,4
399,3
400,1
401,0
402,2
403,4
404,3
405,4
406,5
407,4
408,4
409,4
410,4
411,4
412,2
413,4
414,0
415,3
416,4
417,5
418,6
419,0
420,2
421,0
422,2
423,2
424,2
425,4
426,2
427,4
428,2
429,3
430,5
431,9
432,6
433,1
434,5
435,4
436,4
437,4
438,4
439,4
440,2
441,4
442,0
443,0
444,4
445,0
446,4
447,4
448,6
449,2
450,3
451,4
452,4
453,5
454,4
455,4
456,6
457,1
458,4
459,6
460,4
461,4
462,6
463,4
464,4
465,6
466,4
467,0
468,4
469,4
470,9
471,4
472,4
473,4
474,6
475,5
476,6
477,4
478,2
479,4
480,1
481,2
482,3
483,4
484,4
485,2
486,6
487,5
488,6
489,4
490,4
491,9
492,4
493,6
494,4
495,4
496,4
497,0
498,4
499,2
500,4
501,2
502,4
503,5
504,3
505,2
506,4
507,0
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,5
517,1
518,4
519,4
520,3
521,6
522,1
523,8
524,3
525,4
526,6
527,0
528,4
529,3
530,1
531,2
532,0
533,2
534,3
535,4
536,3
537,1
538,6
539,4
540,6
541,4
542,9
543,4
544,4
545,5
546,6
547,4
548,5
549,4
550,3
551,4
552,4
553,4
554,4
555,4
556,4
557,5
558,4
559,4
560,4
561,4
562,2
563,2
564,4
565,4
566,6
567,4
568,4
569,6
570,4
571,4
572,2
573,0
574,0
575,6
576,9
577,6
578,4
579,4
580,9
581,4
582,4
583,0
584,4
585,2
586,5
587,3
588,6
589,2
590,5
591,4
592,2
593,6
594,9
595,2
596,4
597,5
598,6
599,4
600,5
601,4
602,6
603,2
604,3
605,3
606,4
607,4
608,6
609,1
610,6
611,4
612,6
613,2
614,2
615,4
616,0
617,0
618,4
619,2
620,5
621,2
622,4
623,4
624,4
625,4
626,4
627,6
628,4
629,6
630,5
631,5
632,5
633,3
634,4
635,5
636,4
637,9
638,4
639,6
640,2
641,2
642,0
643,5
644,6
645,6
646,4
647,2
648,4
649,0
650,4
651,3
652,4
653,4
654,4
655,6
656,4
657,0
658,2
659,2
660,6
661,5
662,6
663,4
664,4
665,6
666,8
667,6
668,2
669,3
670,5
671,2
672,6
673,4
674,4
675,6
676,2
677,5
678,2
679,2
680,2
681,4
682,3
683,3
684,2
685,4
686,3
687,4
688,5
689,1
690,3
691,4
692,4
693,2
694,4
695,1
696,3
697,3
698,5
699,2
700,4
701,6
702,4
703,2
704,4
705,5
706,2
707,6
708,2
709,4
710,3
711,4
712,4
713,6
714,4
715,5
716,6
717,9
718,4
719,2
720,3
721,2
722,4
723,4
724,8
725,4
726,4
727,3
728,0
729,6
730,5
731,2
732,6
733,9
734,2
735,4
736,4
737,6
738,3
739,6
740,0
741,2
742,8
743,4
744,4
745,6
746,4
747,2
748,4
749,6
750,4
751,4
752,6
753,4
754,6
755,3
756,4
757,4
758,4
759,2
760,0
761,0
762,2
763,4
764,6
765,4
766,2
767,0
768,2
769,2
770,4
771,2
772,2
773,8
774,4
775,4
776,4
777,4
778,4
779,4
780,0
781,2
782,6
783,3
784,4
785,5
786,4
787,5
788,3
789,4
790,5
791,0
792,0
793,4
794,6
795,4
796,3
797,2
798,0
799,4
800,5
801,6
802,3
803,6
804,2
805,0
806,4
807,6
808,4
809,2
810,6
811,3
